id,left,right,operator,disposition,registry_relation,registry_decision,reason,source_ids,evidence_level
REL042,history-gram,history-contrast,ne,preserve_distinct_views,centering_relation,link_not_alias,Centering G_hist by subtracting 5I12 produces a different operator.,HIST,inherited_registry_statement_not_independently_reproved
REL043,history-sheet-grading,history-sheet-exchange,ne,preserve_distinct_views,grading_vs_exchange,do_not_merge,The raw receipt-family diagonal grading is not the spectral sheet-exchange observable.,CLIFF;CHAT,inherited_registry_statement_not_independently_reproved
REL044,u1-anchor-first,u1-anchor-second,ne,preserve_distinct_views,complementary_subgroups,do_not_merge,"The two anchor point stabilizers are differently embedded circles, with trivial intersection in the stated geometry.",CIRCLES,inherited_registry_statement_not_independently_reproved
REL045,u1-anchor-first,u1-face-center,ne,preserve_distinct_views,distinct_circle_subgroups,do_not_merge,A0 is not J; J is the sum of the two event-anchor Lie generators.,NEUTRAL,inherited_registry_statement_not_independently_reproved
REL049,s12-phase-set,twelve-face-phases,eq,source_supported_alias,same_source_phase_objects,consolidate_entity_keep_map_domain,The line-map source explicitly says the twelve phase states are the six face carriers with their two relative orientations.,LINES;CONNECTION,inherited_registry_statement_not_independently_reproved
REL050,t01-edge-connection,c10-native,ne,preserve_distinct_views,endpoint_indices_vs_actor_name,do_not_merge,The edge map T_10 is an involutory inverse of T_01; macro T10 is a separately defined decagonal native actor.,TWISTED;MACRO_EXCERPT,inherited_registry_statement_not_independently_reproved
REL051,p01-line-partitions,frame-common-projector,ne,preserve_distinct_views,partition_vs_projector,do_not_merge,P0/P1 partition local modes; P0_frame projects onto a frame-common linear subspace.,LINES;CHAT,inherited_registry_statement_not_independently_reproved
REL052,m4-mode-set,matrix-algebras,ne,preserve_distinct_views,finite_mode_set_vs_algebra,do_not_merge,"The four local modes are a finite factor of a 48-record domain, not a full matrix algebra.",LINES,inherited_registry_statement_not_independently_reproved
REL053,cochain-spaces,complex-spaces,ne,preserve_distinct_views,cochain_degree_vs_complex_dimension,do_not_merge,C^2 can indicate degree-two cochains or a complex doublet; superscript syntax alone cannot decide.,DYN_TARGETS;U2,inherited_registry_statement_not_independently_reproved
REL054,inertia-moments,identity-matrices,ne,preserve_distinct_views,physical_parameter_vs_identity_matrix,do_not_merge,"I1/I3 in the heavy-top calculation are inertia scalars, not identity matrices.",CONSERVATIVE,inherited_registry_statement_not_independently_reproved
REL056,history-primitive-family,r1-history-class,ne,preserve_distinct_views,selected_family_member,link_family_and_member,The visibility map selects r1 from the three primitive homology species.,HISTORY_CLASSES,inherited_registry_statement_not_independently_reproved
REL057,frame-sign-values,frame-current-sign,ne,preserve_distinct_views,eigenvalue_readout,link_not_alias,"r5 is an eigenvalue of R5, not the operator R5.",CORE;CHAT,inherited_registry_statement_not_independently_reproved
REL058,connection-doublet,c2-phase-residual,ne,preserve_distinct_views,companion_action,link_not_alias,The residual involution relates the two connection sheets; the group and the doublet are not one object.,TWISTED;RESIDUAL,inherited_registry_statement_not_independently_reproved
REL059,three-section-coordinate,x12-sections,ne,preserve_distinct_views,coordinate_factor,link_views_keep_domains,The older source explicitly supplies the product X12 ~= X3 x X4; a factor set is not the whole section object or its acting group.,OLDER_SECTION_SURFACE,inherited_registry_statement_not_independently_reproved
REL060,t10-native-macro,c10-native,ne,preserve_distinct_views,generates,link_not_alias,A named permutation generates its cyclic subgroup; the actor and the ten-element group remain distinct objects.,MACRO_EXCERPT;CONF_ACTION,inherited_registry_statement_not_independently_reproved
REL061,t10-native-macro,t01-edge-connection,ne,preserve_distinct_views,notation_collision,do_not_merge,"Native T10 is the decagonal macro actor. In the same-face connection source T_10 denotes the reverse edge and satisfies T_10=T_01^-1=T_01; numerical indices here identify endpoints, not a macro action.",MACRO_EXCERPT;TWISTED,inherited_registry_statement_not_independently_reproved
TYPE001,d5-history,frame-difference,ne,reviewed_type_separation,group_vs_linear_operator,new_encoding_guard_not_new_native_theorem,An order-ten finite group presentation is not the real linear operator D5_frame.,HISTORICAL_FIVEFOLD;CHAT,direct_type_or_order_deduction_from_registry
TYPE002,d5-face-kernel,frame-difference,ne,reviewed_type_separation,group_vs_linear_operator,new_encoding_guard_not_new_native_theorem,A face-action kernel subgroup is not the real linear operator D5_frame.,D5_KERNEL;CHAT,direct_type_or_order_deduction_from_registry
TYPE003,d5-face-kernel,d8-face-blocks,ne,reviewed_type_separation,unequal_recorded_group_orders,new_encoding_guard_not_new_native_theorem,The source records kernel order 10 and permutation-image order 8; they are not aliases.,D5_KERNEL;FACE,direct_type_or_order_deduction_from_registry
