id,qualified_name,source_labels,kind,domain,group_order,point_count,real_dimension,complex_dimension,rank,carrier_real_dimension,standing,definition,formula_or_action,boundary,source_ids
v4-voltage,Klein-valued quotient voltage label group,"[""V4"", ""V_4""]",coefficient group with voltage assignment,Oriented edges of the G15 quotient and their G60 lift,,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The four-element group used to label quotient edges and accumulate deck holonomy. It can be explicitly identified with native deck elements in a supplied voltage chart, but the edge labeling is gauge dependent.",hol(gamma)=product of native V4 edge voltages,"Keep coefficient group, gauge-chosen voltage cochain, and actual deck permutation action as separate objects.","[""CORE"", ""BASE""]"
v4-root-projective,Rooted dihedral central quotient plane,"[""V4"", ""V_4""]",quotient group / projective comparison plane,D8_root/Z(D8_root),4,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The commuting four-element quotient of a specified dihedral central extension. Its lifts retain nontrivial central commutators and square refinements, so the projective data are not encoded by the abstract V4 alone.","[U,V]=z^beta(u,v); U^2=z^q(u)",An abstract V4 isomorphism does not identify this quotient with native deck V4.,"[""HISTORICAL_FIVEFOLD""]"
v4-fp-kernel,Fiber-product parity-character Klein kernel,"[""V4"", ""V_4""]",kernel of a presentation character,D8 coordinate factor of the global fiber product,4,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The kernel of chi(r,f)=r mod2 in the D8 model. Via the full explicit group isomorphism, this participates in the native kernel over S5; that map, not the number four, licenses comparison.","ker(chi)={(r,f): r is even}","Preserve the model-to-native isomorphism rather than treating literal r,f coordinates as native vertex labels.","[""FP""]"
v4-cover-center,Central Klein group of the common 120-cover,"[""V4"", ""V_4""]",center of graph automorphism group,Aut(K120) for the census common cover,4,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The center {1,tau4,tau5,tau6} controls three central two-fold quotients. It is a different embedded Klein group from the named deck register downstairs.","Z(Aut(K120))={1,tau4,tau5,tau6}",All central elements remain fixed under conjugation in this ambient group; equal child size does not merge the quotient involutions.,"[""COVER""]"
v4-section-coordinate,Four-point square section coordinate,"[""V4"", ""V_4"", ""X4""]",structured finite set,The X4 factor in an explicitly chosen 3 x 4 closure-section presentation,,4,,,,,Source-recorded four-point factor; particular Klein identification unresolved.,"The retrieved section source specifies a four-point square coordinate X4 and a D8 action. It does not, in that passage, select a particular regular Klein translation subgroup on the four points. Preserve the coordinate as a set with square structure until the original coordinate registry supplies more.",Four-point factor X4; retain its section-coordinate bijection,"The identification of this coordinate with the native Klein deck labels, or with a particular V4 subgroup of the square symmetry, is not recovered here.","[""OLDER_SECTION_SURFACE"", ""BASE""]"
v4-kernel-coordinate,Binary translation coordinate of the rank-eight relational kernel,"[""V4"", ""V_4""]",finite additive coordinate group,X12_kernel=Z3 x F2^2,4,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The normalized two-bit coordinate with named directions u=(1,0),v=(0,1). The source expressly says these are not new names for historical native deck permutations.",x -> x+t; t in F2^2,"Do not relabel u,v as a,b without a source-derived correspondence.","[""KERNEL""]"
v4-surface-holonomy,Unlifted surface winding-plane loop group,"[""V4"", ""V_4""]",finite matrix holonomy subgroup,The surface reference O(2) connection,4,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The loop group {I,-I,Sprime,-Sprime} inside the edge-transport D8. It has no order-four element and must be distinguished from the lifted dihedral holonomy.","Hol={I,-I,Sprime,-Sprime}",Not the entire edge transport group or a chosen central lift.,"[""SURFACE""]"
v4-face-compatibility,Face semilinearity compatibility subgroup,"[""V4"", ""V_4""]",index-two operator subgroup,Local D8 face block representation 1+chi_face+E2,4,,,,,,Source-recorded; original producer not re-executed in this sweep.,The kernel of the mismatch character delta=chi_face*det_E2. Restricting to it reconciles scalar-plane and E2 conjugation behavior and supports the selected complex doublet structure.,ker(delta) <= D8; order4; preimage in Stab(face) has order40,Not the full face D8 image; the reduction and its preimage have different orders and roles.,"[""FACE""]"
v4-connection-gauge,Connection local gauge/transport ambiguity group,"[""V4"", ""V_4""]",local gauge action family,Four-state transports between declared face-phase objects,4,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The connection checkpoint reports four local transports per edge forming a source/target V4 torsor. Pair and signed-event data reduce this ambiguity. The gauge group acts on transport choices, not as a new four-point history set.",Four transports -> pair-level residual C2 -> one selected local transport,Equal group type to the compatibility subgroup alone is not enough; use the source connection action to relate them.,"[""CONNECTION"", ""RESIDUAL""]"
v4-history-isotropy,Four-element registered-phase isotropy,"[""V4"", ""H0"", ""H1"", ""H2"", ""H3"", ""H_0"", ""H_1"", ""H_2"", ""H_3""]",isotropy subgroup family,Gamma_hist acting on its four cosets,4,,,,,,Source-recorded; original producer not re-executed in this sweep.,"H_k=<a,w_k> is the stabilizer of S_k. The family has period two despite the four-state phase period. Keep each embedded H_k and its quotient by K typed.",H_k=r^k H0 r^-k; w_k=r^(2(k mod2)) s z,Not homology H1; not the ordinary twelve-pentagon history space. The source identifies H_k/K as a group of order two.,"[""HISTORY_PHASE""]"
v4-relational-subgroup,Five-address relational Klein subgroup,"[""V4"", ""Vrel""]",finite subgroup reference,Double transpositions on four selected five-address points,,,,,,,Retained source-context distinction; full original subgroup specification outside this scan.,"The wider source notation distinguishes a five-address relational Klein register Vrel from the native deck register. This view is retained as a reference target, not identified with the local four-state deck merely because both are called V4.",Vrel is a separately named relation register; original embedding required.,The complete Vrel generator/domain source is not included in the fully scanned current packet. Recover it before promoting an embedded-subgroup identity.,"[""CORE""]"
binary-field,Two-element scalar field,"[""F2"", ""F_2"", ""\\mathbb F_2""]",coefficient field,"Binary cochains, signs and normalized coordinates",,2,,,,,Source-recorded; original producer not re-executed in this sweep.,"F2 is a scalar field, not the forward relation F_2, a frame action or a signed outcome. Its additive group has order two, but changing codomain type still matters.",0+1=1; 1+1=0 in F2,Identifying additive scalar groups does not identify their native actions.,"[""KERNEL"", ""WINDING""]"
c2-register-parity,Native register-orientation quotient action,"[""C2"", ""C_2""]",quotient group/action,"Conjugation of Aut(G60) on {b,ab}",2,,,,,,Source-recorded; original producer not re-executed in this sweep.,The two-element image fixes a and either fixes or exchanges b and ab. The map has a kernel of order 240. It is not the central sign in every double cover.,epsilon:Aut(G60)->C2,Do not infer a one-leg correlation sign change from this parity alone.,"[""ANALYZER"", ""CORE""]"
c2-root-center,Rooted-comparator central subgroup,"[""C2"", ""C_2"", ""z_F""]",central subgroup family,The selected G60 root stabilizer,2,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The center generated by the square of an odd rooted comparator. Its nontrivial native permutation fixes the four vertices of one Klein fiber, unlike the fixed-point-free global deck center.",<z_F>; z_F^2=I; Fix(z_F) has four native vertices,"This is not the global a-deck involution, nor the BR exchange fixing six vertices.","[""MM""]"
c2-native-double-deck,Native G60-to-G30 central deck subgroup,"[""C2"", ""C_2"", ""a_deck""]",embedded deck subgroup,G60 -> original G30,2,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The order-two group generated by the named fixed-point-free central a. It is the kernel of the original two-fold covering, not a root stabilizer center.",G30=G60/<a>,Native a fixes no G60 vertices; rooted z_F fixes four.,"[""ANALYZER"", ""CORE""]"
c2-cover-extra,Canonical-double extra sheet deck,"[""C2"", ""C_2"", ""kappa""]",deck subgroup,K120 -> G60 in the chosen common-cover chart,2,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The extra two-sheet flip in K120 represented as (x,e)->(x,e+1). It enters the composite free C2^3 deck but is not automatically the lower native a.","kappa(x,e)=(x,e+1)","Its role is the extra canonical-double cover coordinate, not a fresh branch choice at each event.","[""COVER""]"
c2-history-kernel,Constant kernel of the four-phase history action,"[""C2"", ""C_2"", ""K_hist_action""]",central kernel subgroup,Gamma_hist -> Perm(Gamma_hist/H0),2,,,,,,Source-recorded; original producer not re-executed in this sweep.,"K=<a>, with a=r^2 z and supplied cache indices {0,326}. This K is a group, not the golden history matrix K_hist or local G1800 operator K.",K=<a>; a=r^2 z; |K|=2,Retain the ambient group and map; the subscripted matrix K_hist is a different object.,"[""HISTORY_PHASE""]"
c2-history-extra,Extra central factor of Gamma_hist,"[""C2"", ""C_2"", ""z_hist""]",direct-product factor,"Gamma_hist=<r,s> x <z>",2,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The factor generated by z=cache[324] in the supplied phase presentation. It is not automatically K=<r^2z>, even though both are central involutory subgroups.","<z>; z^2=I; [z,r]=[z,s]=I",Same order and centrality do not identify distinct subgroups.,"[""HISTORY_PHASE""]"
c2-history-word,Phase-isotropy word-exchange quotient,"[""C2"", ""C_2"", ""H_k/K""]",quotient group family,H_k/K at each declared phase coset,2,,,,,,Source-recorded; original producer not re-executed in this sweep.,The source gives an order-two quotient whose nonidentity element is interpreted as a word exchange. This quotient has a distinguished identity; it is not just an unmarked two-element torsor.,H_k / K,"An actual map to original history states {2,3} is still required.","[""HISTORY_PHASE""]"
c2-axis-central,Central global sign in the signed-axis extension,"[""C2"", ""C_2"", ""I6"", ""-I6""]",central operator subgroup,A_e={+/-M_g} within one conference sector,2,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The central pair {I6,-I6} of the order-120 split signed extension. It reverses every vector in a chosen three-dimensional conference eigenspace, unlike central spinor -I2 whose conjugation on observables is trivial.",1->C2->A_e->A5->1,Not the analyzer-sector flip or automatic physical axis inversion.,"[""SIGNED_AXIS""]"
c2-analyzer-sector,Analyzer-sector exchange quotient,"[""C2"", ""C_2""]",quotient action,G_sec ~= S5 with sector-preserving subgroup A5,2,,,,,,Source-recorded; original producer not re-executed in this sweep.,This C2 records preserving versus exchanging the two conference sectors. The total sector group has trivial center; this character is not the central sign in A_e.,1->A5->G_sec->C2->1,A_e and G_sec both have order120 but are nonisomorphic.,"[""SIGNED_AXIS""]"
c2-phase-residual,Pair-registration connection residual,"[""C2"", ""C_2""]",residual action on a transport torsor,"{T,S1 T} before signed-event selection",2,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The last two-fold ambiguity after pair-level event registration. Its generator is S1; the signed event picks a member. The group, torsor, generator and selected member are distinct records.","{T,S1*T}; residual generator S1","Not the actual selected transport, and not the global history2/3 alphabet.","[""RESIDUAL"", ""CONNECTION""]"
c2-threefold-deck,Composite elementary-abelian eight-fold deck group,"[""C2^3"", ""C_2^3""]",deck group,K120 -> G15 composite covering,8,,,,,,Source-recorded; original producer not re-executed in this sweep.,The free order-eight action generated by the native four-fold deck lifts and the canonical-double sheet flip. All nonidentity elements are involutions.,"<a_tilde,b_tilde,kappa> ~= C2 x C2 x C2","Not cyclic C8, rooted D8, history D8, or a three-element C3 group.","[""COVER""]"
c3-mode,Registered event-frame cyclic phase action,"[""C3"", ""C_3"", ""C_evt""]",cyclic action,Six registered event frames with Mode reversal,3,,,,,,Source-recorded; original producer not re-executed in this sweep.,The phase operator of order three in the specified event-frame model. Together with the involutory Mode action it realizes S3 on that domain.,C_evt^3=M_evt^2=I; M_evt C_evt M_evt=C_evt^-1,Not automatically the three-cell shift in X12_kernel or a clock winding.,"[""MODE""]"
c3-kernel,Three-cell cyclic shift in the relational kernel,"[""C3"", ""C_3"", ""Z3"", ""Z_3""]",cyclic coordinate/action,The i coordinate of X12_kernel=Z3 x F2^2,3,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The cyclic order of the three cells. It preserves forward/reverse relation naming in the color automorphism group; the position coordinate is a residue, not a historical event.",i -> i+1 mod3,Same C3 type as event phase is not an event-Mode intertwiner.,"[""KERNEL""]"
c3-section,Closure three-section rotation subgroup,"[""C3"", ""C_3""]",cyclic subgroup,S3 acting on the three-state closure factor X3,3,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The order-three rotations of the section-coordinate action. The full factor also contains reversals. A cyclic order is a presentation choice, not an absolute time direction.",C3 <= Sym(X3) ~= S3,No equality with event C_evt or companion monodromy rotation has been supplied.,"[""OLDER_SECTION_SURFACE""]"
c4-native-exchange,Selected native exchange cyclic subgroup,"[""C4"", ""C_4""]",cyclic subgroup,<g> in the supplied Aut(G60) cache,4,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The selected order-four native action with g=cache[3], g^2=cache[2] and inverse cache[5]. This same selected element occurs in the declared phase-group construction, but its other representations remain separate views.","g^4=I; g^2=r1_native; powers indices [0,3,2,5]",Not G1800 K without a carrier map; r1_native is not primitive homology class r1.,"[""HISTORY_PHASE"", ""CARTAN"", ""BUNDLE""]"
c4-g1800,Registered G1800 quarter-turn subgroup,"[""C4"", ""C_4"", ""K_1800""]",cyclic permutation group,One ordered registration of a native G1800 product quotient,4,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The group generated by the specific K_1800 action. Its square is Delta_1800, and each free orbit contains four native states.",K_1800^4=I; K_1800^2=Delta_1800,Not the native Klein register or a C4 graph-census code.,"[""FRAMES""]"
c4-face-complex,Face complex-quarter-turn subgroup,"[""C4"", ""C_4"", ""J_F""]",cyclic operator group,Chosen face complex structure on a four-real-dimensional fiber,4,,4,,,,Source-recorded; original producer not re-executed in this sweep.,"The powers of the selected orthogonal complex structure J_F, for which J_F^2=-I. Its inclusion in <J_F,S1> is an operator-group statement.",<J_F>; J_F^2=-I4,Not the selected cache element g unless an admitted representation identifies their actions.,"[""FACE"", ""RESIDUAL""]"
c4-history-companion,Registered-decagon companion cyclic action,"[""C4"", ""C_4"", ""history24""]",cyclic subgroup family,Companion actions generated using BR-related involutions,4,,,,,,Source-reported companion family; original action tables not replayed.,"The integrated draft distinguishes order-four companions built from BR-related involutions from rooted comparators. The displayed companion square is the global native a, whereas the rooted comparator square fixes four vertices. This archive preserves that contrast without identifying all members of the companion family.",(b j)^2=(ab j)^2=a; (b j)^-1=ab j,The original companion action table is not rerun or fully reproduced. A matching order-four presentation is insufficient for a rooted-comparator identification.,"[""MACRO_EXCERPT"", ""MM""]"
c5-history,Fivefold rotation subgroup of the historical D5 register,"[""C5"", ""C_5""]",cyclic subgroup,"Historical D5=<a,b> with s=ab",5,,,,,,Source-recorded; original producer not re-executed in this sweep.,The rotation subgroup carrying the historical fivefold contrast polynomial. It is not obtained by simply taking ab of the native commuting Klein pair.,<s>; s=ab; s^5=I,Same polynomial as a frame contrast does not identify native state actions.,"[""HISTORICAL_FIVEFOLD""]"
c5-analyzer,Analyzer Sylow-five subgroup family,"[""C5"", ""C_5""]",subgroup family / axis index,Six Sylow-5 subgroups in the S5 quotient action,5,,,,,,Source-recorded; original producer not re-executed in this sweep.,The six subgroup objects provide analyzer axes via order-five averaging on specified native modes. Each cyclic subgroup is a group; their six-member family is a different set.,Pi_i=(1/5) sum_(g in C5_i) U_g P,Do not identify the six-axis index set with five frame labels.,"[""ANALYZER"", ""CONF_ACTION""]"
c5-frame,Pure five-frame shift action,"[""C5"", ""C_5"", ""S_frame""]",cyclic permutation action,Five registered frame copies of G1800,5,,,,,,Source-recorded; original producer not re-executed in this sweep.,The pure frame-coordinate shift separated from the combined registered step. The historical reconstructed coordinate chart supports the definition; physical or unrestricted native-dynamics admission remains separate.,"S_frame(f,x)=(f+1,x); S_frame^5=I; F_reg=S_frame K_1800",Preserve conditional native/admissibility status from the archive. Not the analyzer-axis C5.,"[""FRAMES"", ""CHAT""]"
c10-native,Native decagonal macro-transport subgroup,"[""C10"", ""C_10""]",cyclic subgroup,Native G60 macro-history transport T10,10,,,,,,"Source/context-reported macro action; five-axis quotient data available, full original actor not replayed.",The cyclic subgroup generated by the independently named native T10 macro transport. The inherited law T10^5=b and the nontrivial involution b give the reported decagonal action. The subgroup is not the generating element and is not the C20 frame group.,<T10> ~= C10; T10^5=b; T10^10=I,"The T10 full-permutation law is retained from earlier source context; this sweep does not reconstruct it. T10 is a selected actor name, not group order notation by itself.","[""MACRO_EXCERPT"", ""CONF_ACTION"", ""CORE""]"
c20-registered,Registered twenty-step frame-history action,"[""C20"", ""C_20"", ""F_reg""]",cyclic action,Each free orbit of the registered G9000 action,20,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The full registered action has order twenty, combining mod5 frame and mod4 internal residue. This does not make it an automorphism of one bare G1800 graph.",F_reg^5=K_1800; F_reg^20=I; 450 free20-cycles,Retain the registered groupoid and its frame maps; not an SI clock.,"[""FRAMES""]"
s3-abstract-klein,Abstract Klein automorphism triality,"[""S3"", ""S_3""]",abstract automorphism group,Aut(V4_abstract),6,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The permutations of three nonidentity elements of an abstract Klein group. This full type is not realized by native G60 conjugation on its named deck triple, whose image is only C2.",Aut(V4_abstract) ~= S3,Do not upgrade abstract automorphisms to native admitted symmetries.,"[""CORE"", ""ANALYZER""]"
